Comment,Designator,Footprint,LCSC
3V,BT1,Battery:BatteryHolder_Keystone_1060_1x2032,
22u,C1,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
22u,C2,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
22u,C3,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
24V,C4,Capacitor_SMD:CP_Elec_10x10.5,C5155335
24V,C5,Capacitor_SMD:CP_Elec_10x10.5,C5155335
24V,C6,Capacitor_SMD:CP_Elec_10x10.5,C5155335
5V,C7,Capacitor_SMD:CP_Elec_8x10.5,C310836
100n,C8,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
100n,C9,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
100n,C10,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
100n,C11,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
100n,C12,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
MountingHole,H1,stepper2:MountingHole_3.2mm_M3,
MountingHole,H2,stepper2:MountingHole_3.2mm_M3,
DA15_Receptacle_MountingHoles,J1,stepper2:DSUB-15-HD_Vertical_Pitch2.29x1.98mm_Mercury3000_Enc,
DA15_Receptacle_MountingHoles,J2,stepper2:DSUB-15-HD_Vertical_Pitch2.29x1.98mm_Mercury3000_Enc,
DA15_Receptacle_MountingHoles,J3,stepper2:DSUB-15-HD_Vertical_Pitch2.29x1.98mm_Mercury3000_Enc,
DE15_Receptacle_HighDensity,J4,stepper2:DSUB-15-HD_Horizontal_Pitch2.29x2.54mm_EdgePinOffset9.40mm,
DE15_Receptacle_HighDensity,J5,stepper2:DSUB-15-HD_Horizontal_Pitch2.29x2.54mm_EdgePinOffset9.40mm,
DE15_Receptacle_HighDensity,J6,stepper2:DSUB-15-HD_Horizontal_Pitch2.29x2.54mm_EdgePinOffset9.40mm,
Conn_01x04_Pin,J7,stepper2:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,C265102
Conn_01x05_Pin,J8,stepper2:JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,C265104
Conn_01x06_Pin,J9,stepper2:JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,C265405
Conn_01x07_Pin,J10,stepper2:JST_PH_S7B-PH-SM4-TB_1x07-1MP_P2.00mm_Horizontal,C265453
FAN,J11,Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,
Conn_01x03_Pin,J12,stepper2:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C265101
Conn_01x03_Pin,J13,stepper2:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C265101
Conn_01x03_Pin,J14,stepper2:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C265101
Jack-DC,POWER_5V1,Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles,
120R,R1,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R2,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R3,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R4,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R5,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R6,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R7,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R8,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R9,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
10k,R10,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
10k,R11,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
10k,R12,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
1k,R13,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
1k,R14,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
1k,R15,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
SW_Push,SW1,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C620327
SW_Push,SW2,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C620327
SW_Push,SW3,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C620327
SW_Push,SW4,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C620327
SW_Push,SW5,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C620327
SW_Push,SW6,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C620327
AM26LS32ACN,U1,stepper2:SO-16_3.9x9.9mm_P1.27mm,C19092
AM26LS32ACN,U2,stepper2:SO-16_3.9x9.9mm_P1.27mm,C19092
AM26LS32ACN,U3,stepper2:SO-16_3.9x9.9mm_P1.27mm,C19092
TMC2209_BIGTREETECH,U4,stepper2:TMC2209_BIGTREETECH,
TMC2209_BIGTREETECH,U5,stepper2:TMC2209_BIGTREETECH,
TMC2209_BIGTREETECH,U6,stepper2:TMC2209_BIGTREETECH,
~,U7,stepper2:UDFN-8_1.2x1.8mm_OR_SO8_3.9x4.9mm,C725710
~,U8,stepper2:DCDC_17.0mm_22.2mm,
~,U9,stepper2:Waveshare_FT232_USBC_module,
~,U10,stepper2:Nucleo144_H723_withVBAT,
